Humidity (%),,temp c,,temp f,,voc,co2-analog,,co2-digital,,date,time,PM1.0,PM2.5,PM10
69.5,,32.6,,90.68,,99,380,,1,,6/5/2024,3:01:26,41,70,85
69.4,,32.6,,90.68,,98,380,,1,,6/5/2024,3:01:33,40,69,74
69.2,,32.7,,90.86,,98,379,,1,,6/5/2024,3:01:40,39,65,70
69.1,,32.7,,90.86,,95,377,,0,,6/5/2024,3:01:47,36,62,68
69.1,,32.7,,90.86,,94,376,,1,,6/5/2024,3:01:54,37,59,63
69,,32.7,,90.86,,96,374,,0,,6/5/2024,3:02:01,33,56,61
68.9,,32.7,,90.86,,96,373,,1,,6/5/2024,3:02:08,34,59,67
68.9,,32.7,,90.86,,96,372,,0,,6/5/2024,3:02:15,43,69,78
68.8,,32.8,,91.04,,96,371,,1,,6/5/2024,3:02:22,41,67,71
68.8,,32.8,,91.04,,96,370,,0,,6/5/2024,3:02:29,40,64,71
68.8,,32.7,,90.86,,96,369,,1,,6/5/2024,3:02:36,37,59,69
68.8,,32.8,,91.04,,96,369,,0,,6/5/2024,3:02:43,34,60,69
68.7,,32.9,,91.22,,95,368,,1,,6/5/2024,3:02:50,33,62,67
68.8,,32.9,,91.22,,95,367,,0,,6/5/2024,3:02:57,29,61,70
68.7,,32.9,,91.22,,98,366,,1,,6/5/2024,3:03:04,31,59,67
68.8,,32.8,,91.04,,711,366,,1,,6/5/2024,3:03:11,31,55,57
68.6,,32.9,,91.22,,715,365,,0,,6/5/2024,3:03:18,32,59,64
68.6,,32.9,,91.22,,705,365,,1,,6/5/2024,3:03:25,31,56,62
68.6,,32.9,,91.22,,711,365,,1,,6/5/2024,3:03:32,30,51,55
68.4,,32.9,,91.22,,711,364,,0,,6/5/2024,3:03:39,29,49,54
68.5,,32.9,,91.22,,699,364,,1,,6/5/2024,3:03:46,31,54,61
68.5,,33,,91.4,,709,364,,0,,6/5/2024,3:03:53,31,60,69
68.4,,33,,91.4,,710,363,,1,,6/5/2024,3:04:00,32,63,70
68.4,,32.9,,91.22,,689,364,,0,,6/5/2024,3:04:07,33,62,67
68.4,,32.9,,91.22,,692,364,,1,,6/5/2024,3:04:14,32,60,72
68.5,,33,,91.4,,687,363,,1,,6/5/2024,3:04:21,28,53,63
68.5,,33,,91.4,,670,363,,0,,6/5/2024,3:04:28,27,51,54
68.5,,33.1,,91.58,,678,364,,1,,6/5/2024,3:04:35,16,43,46
